2005,,,,,,,,,,,
DIST,runDEM,DIST,run3DEM,,,,,,,,
0.022484091,702.5136719,0.022484091,705.1845703,,,2.67089843,,,,,
0.022833187,700.265625,0.022833187,703.7138672,,,3.44824219,,,,,
0.023182282,698.8164063,0.023182282,701.8955078,,,3.07910156,,,,,
0.023531377,697.3496094,0.023531377,699.8525391,,,2.50292968,,,,,
0.023880472,695.4414063,0.023880472,697.7431641,,,2.30175781,,,,,
0.024229568,693.6904297,0.024229568,696.0087891,,,2.31835937,,,,,
0.024578663,691.5097656,0.024578663,694.0039063,,,2.49414063,,,,,
0.024927758,689.6289063,0.024927758,691.8662109,,,2.23730469,,,,,
0.025276853,688.0166016,0.025276853,689.5732422,,,1.55664063,,,,,
0.025625948,685.0029297,0.025625948,686.9707031,,,1.96777343,,,,,
0.025975044,683.1513672,0.025975044,685.1699219,,,2.01855469,,,,,
0.026324139,681.0351563,0.026324139,683.3339844,,,2.29882813,,,,,
0.026673234,677.7304688,0.026673234,681.7021484,,,3.97167969,,,,,
0.027022329,675.4384766,0.027022329,678.7236328,,,3.28515625,,,,,
0.027371425,674.7626953,0.027371425,677.046875,,,2.28417969,,,,,
0.02772052,672.5673828,0.02772052,675.0449219,,,2.47753907,,,,,
0.028069615,669.8017578,0.028069615,672.5585938,,,2.75683594,,,,,
0.02841871,666.2792969,0.02841871,670.828125,,,4.54882812,,,,,
0.028767806,664.6269531,0.028767806,669.7851563,,,5.15820313,,,,,
0.029116901,661.8662109,0.029116901,667.7734375,,,5.90722656,,,,,
0.029465996,658.6582031,0.029465996,665.5976563,,,6.93945313,,,,,
0.029815091,655.7246094,0.029815091,662.8808594,,,7.15625,,,,,
0.030164186,654.2666016,0.030164186,661.4404297,,,7.17382813,,,,,
0.030513282,650.9326172,0.030513282,658.9375,,,8.00488281,,,,,
0.030862377,648.1982422,0.030862377,656.4609375,,,8.26269531,,,,,
0.031211472,645.7148438,0.031211472,653.6123047,,,7.89746094,,,,,
0.031560567,643.78125,0.031560567,651.5527344,,,7.77148438,,,,,
0.031909663,640.5488281,0.031909663,647.7529297,,,7.20410157,,,,,
0.032258758,636.6044922,0.032258758,643.8291016,,,7.22460937,,,,,
0.032607853,632.8681641,0.032607853,639.9345703,,,7.06640625,,,,,
0.032956948,628.5859375,0.032956948,635.5234375,,,6.9375,,,,,
0.033306043,626.5371094,0.033306043,633.09375,,,6.55664062,,,,,
0.033655139,622.1298828,0.033655139,628.3759766,,,6.24609375,,,,,
0.034004234,617.9375,0.034004234,623.09375,,,5.15625,,,,,
0.034353329,612.9580078,0.034353329,617.6943359,,,4.73632813,,,,,
0.034702424,610.6435547,0.034702424,615.0878906,,,4.44433593,,,,,
0.03505152,606.3310547,0.03505152,610.4677734,,,4.13671875,,,,,
0.035400615,601.4697266,0.035400615,606.0351563,,,4.56542969,,,,,
0.03574971,597.0117188,0.03574971,601.6376953,,,4.62597656,,,,,
0.036098805,594.0517578,0.036098805,598.59375,,,4.54199219,,,,,
0.036447901,589.0927734,0.036447901,594.5654297,,,5.47265625,,,,,
0.036796996,584.4140625,0.036796996,590.2685547,,,5.85449219,,,,,
0.037146091,579.9111328,0.037146091,585.9267578,,,6.015625,,,,,
