LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,run3DEM
"0","59",0.0219439230,266.6289092200,-73.5965392280,-50.7046918220,708.7187500000,708.7187500000
"0","60",0.0223222665,269.5468779900,-73.5962615280,-50.7044348660,705.8007812500,705.8007812500
"0","61",0.0224840913,270.1630889500,-73.5961427510,-50.7043249610,705.1845703100,705.1845703100
"0","62",0.0228331865,271.6337921200,-73.5959312080,-50.7040472610,703.7138671900,703.7138671900
"0","63",0.0231822818,273.4521515300,-73.5957196660,-50.7037695610,701.8955078100,701.8955078100
"0","64",0.0235313770,275.4951203100,-73.5955081240,-50.7034918610,699.8525390600,699.8525390600
"0","65",0.0238804722,277.6044953400,-73.5952965810,-50.7032141610,697.7431640600,697.7431640600
"0","66",0.0242295675,279.3388703700,-73.5950850390,-50.7029364610,696.0087890600,696.0087890600
"0","67",0.0245786627,281.3437532100,-73.5948734960,-50.7026587610,694.0039062500,694.0039062500
"0","68",0.0249277579,283.4814485500,-73.5946619540,-50.7023810610,691.8662109400,691.8662109400
"0","69",0.0252768531,285.7744173300,-73.5944504110,-50.7021033610,689.5732421900,689.5732421900
"0","70",0.0256259484,288.3769564200,-73.5942388690,-50.7018256610,686.9707031200,686.9707031200
"0","71",0.0259750436,290.1777377000,-73.5940273270,-50.7015479610,685.1699218800,685.1699218800
"0","72",0.0263241388,292.0136752300,-73.5938157840,-50.7012702610,683.3339843800,683.3339843800
"0","73",0.0266732341,293.6455112100,-73.5936042420,-50.7009925610,681.7021484400,681.7021484400
"0","74",0.0270223293,296.6240268500,-73.5933926990,-50.7007148610,678.7236328100,678.7236328100
"0","75",0.0273714245,298.3007847000,-73.5931811570,-50.7004371610,677.0468750000,677.0468750000
"0","76",0.0277205198,300.3027378600,-73.5929696150,-50.7001594610,675.0449218800,675.0449218800
"0","77",0.0280696150,302.7890660100,-73.5927580720,-50.6998817610,672.5585937500,672.5585937500
"0","78",0.0284187102,304.5195347900,-73.5925465300,-50.6996040610,670.8281250000,670.8281250000
"0","79",0.0287678055,305.5625036000,-73.5923349870,-50.6993263610,669.7851562500,669.7851562500
"0","80",0.0291169007,307.5742223800,-73.5921234450,-50.6990486610,667.7734375000,667.7734375000
"0","81",0.0294659959,309.7500036600,-73.5919119030,-50.6987709610,665.5976562500,665.5976562500
"0","82",0.0298150911,312.4668005600,-73.5917003600,-50.6984932610,662.8808593800,662.8808593800
"0","83",0.0301641864,313.9072302900,-73.5914888180,-50.6982155610,661.4404296900,661.4404296900
"0","84",0.0305132816,316.4101600000,-73.5912772750,-50.6979378610,658.9375000000,658.9375000000
"0","85",0.0308623768,318.8867225200,-73.5910657330,-50.6976601610,656.4609375000,656.4609375000
"0","86",0.0312114721,321.7353553600,-73.5908541910,-50.6973824610,653.6123046900,653.6123046900
"0","87",0.0315605673,323.7949257000,-73.5906426480,-50.6971047610,651.5527343800,651.5527343800
"0","88",0.0319096625,327.5947304000,-73.5904311060,-50.6968270610,647.7529296900,647.7529296900
"0","89",0.0322587578,331.5185585400,-73.5902195630,-50.6965493610,643.8291015600,643.8291015600
"0","90",0.0326078530,335.4130898100,-73.5900080210,-50.6962716610,639.9345703100,639.9345703100
"0","91",0.0329569482,339.8242226400,-73.5897964790,-50.6959939610,635.5234375000,635.5234375000
"0","92",0.0333060434,342.2539101600,-73.5895849360,-50.6957162610,633.0937500000,633.0937500000
