ID,DIST,DIST_SURF,X,Y,Z,runDEM
"109",0.0392406624,407.3867222000,-73.5859887150,-50.6909953610,560.9716796900,560.9716796900
"110",0.0395897576,411.1484409600,-73.5857771730,-50.6907176610,557.2099609400,557.2099609400
"111",0.0399388528,415.0771519100,-73.5855656300,-50.6904399610,553.2812500000,553.2812500000
"112",0.0402879481,419.3925816200,-73.5853540880,-50.6901622610,548.9658203100,548.9658203100
"113",0.0406370433,422.1884800800,-73.5851425460,-50.6898845610,546.1699218800,546.1699218800
"114",0.0409861385,426.0195347800,-73.5849310030,-50.6896068610,542.3388671900,542.3388671900
"115",0.0413352337,430.2597691700,-73.5847194610,-50.6893291610,538.0986328100,538.0986328100
"116",0.0416843290,433.2490270000,-73.5845079180,-50.6890514610,535.1093750000,535.1093750000
"117",0.0420334242,436.7041051400,-73.5842963760,-50.6887737610,531.6542968800,531.6542968800
"118",0.0423825194,440.6289098500,-73.5840848340,-50.6884960610,527.7294921900,527.7294921900
"119",0.0427316147,444.4716833000,-73.5838732910,-50.6882183610,523.8867187500,523.8867187500
"120",0.0430807099,447.5214880100,-73.5836617490,-50.6879406610,520.8369140600,520.8369140600
"121",0.0434298051,449.6953161600,-73.5834502060,-50.6876629610,518.6630859400,518.6630859400
"122",0.0437789004,452.4257849300,-73.5832386640,-50.6873852610,515.9326171900,515.9326171900
"123",0.0441279956,456.6787146300,-73.5830271220,-50.6871075610,511.6796875000,511.6796875000
"124",0.0444770908,459.7197302800,-73.5828155790,-50.6868298610,508.6386718800,508.6386718800
"125",0.0448261861,461.9843787400,-73.5826040370,-50.6865521610,506.3740234400,506.3740234400
"126",0.0450234035,464.6543006300,-73.5824845280,-50.6863952780,503.7041015600,503.7041015600
"127",0.0453019143,466.5459022100,-73.5824632920,-50.6861175780,501.8125000000,501.8125000000
"128",0.0455804251,467.8701209900,-73.5824420560,-50.6858398780,500.4882812500,500.4882812500
"129",0.0458589359,468.9619179000,-73.5824208190,-50.6855621780,499.3964843800,499.3964843800
"130",0.0461374467,471.1513710400,-73.5823995830,-50.6852844780,497.2070312500,497.2070312500
"131",0.0464159575,472.0312539000,-73.5823783470,-50.6850067780,496.3271484400,496.3271484400
"132",0.0466944683,472.6806680200,-73.5823571100,-50.6847290780,495.6777343800,495.6777343800
"133",0.0469729791,473.3701212000,-73.5823358740,-50.6844513780,494.9882812500,494.9882812500
"134",0.0472514899,474.7363321700,-73.5823146380,-50.6841736780,493.6220703100,493.6220703100
"135",0.0475300008,476.5683634400,-73.5822934010,-50.6838959780,491.7900390600,491.7900390600
"136",0.0478085116,477.6884806600,-73.5822721650,-50.6836182780,490.6699218800,490.6699218800
"137",0.0480870224,479.4648478700,-73.5822509290,-50.6833405780,488.8935546900,488.8935546900
